Le Drip,ledrip.ca,1,1050000,Apparel/Sneakers streetwear,1 location Montreal 1382 Saint-Catherine St W. Sneakers and streetwear. Boutique 1500sqft × $700 × 1.0.
CuddlesMeow,cuddlesmeow.com,1,787500,Pet products,1 location 7209 Lancaster Pike Suite 4 Hockessin DE. Cat products and accessories. Boutique 1500sqft × $525 × 1.0.
Bumble Shop,bumble.shop,0,,Apparel/accessories,Online-only. Bumble dating app merchandise. No brand-owned retail locations.
shopUNIQUES.com,shopuniques.com,0,,Women's apparel,Online-only accessible luxury women's fashion. No physical retail.
Granite Ridge Defense,graniteridgedefense.com,0,,Firearms,PROHIBITED: Firearms and gun parts retailer. FFL holder. AR15 components optics tactical.
The Model Experience,themodelexperience.com,0,,Apparel/events,Online-only. Fashion merchandise and Fashion Week events. No physical retail.
Pet Meadow,pet-meadow.myshopify.com,0,,Pet memorial,Online-only Shopify. Pet urns and cremation keepsakes. No physical retail.
My Two Brows,mytwobrows.com,0,,Beauty,Online-only. Temporary eyebrow tattoos and beauty products. No physical retail.
Omega Nutrition USA Inc,omeganutrition.com,0,,Supplements,Store locator for retailers carrying products. No brand-owned retail. Sells through third parties.
PangeaSeed,shop.pangeaseed.org,0,,Art/apparel,Online-only. Ocean art prints and apparel. Nonprofit. No physical retail.
Bob Drake,bobdrake.com,0,,Auto parts,Online-only. Classic Ford reproduction parts. No physical retail.
Techno Sport Ski & Snowboard Shop,techno-sport.com,1,1400000,Apparel/Ski snowboard,1 location 629 Manitou Rd SE Calgary AB. Ski snowboard winter gear since 1984. Standard 2000sqft × $700 × 1.0.
Vintage Time Parts,www.vintagetimeparts.com,1,787500,Watch parts,1 location 2645 Colorado Dr NW Salem OR. Watch and clock parts since mid-1980s. Boutique 1500sqft × $525 × 1.0.
ShopJHNeurosurgery,shopjhneurosurgery.com,0,,Unknown,No brand-owned retail locations found. JH neurosurgery gift shop not documented.
Bent Metal Off-Road,bentmetaloffroad.com,0,,UTV accessories,Online-only. UTV windshields and parts. Sells through authorized dealers. No brand-owned retail.
Pik & Louie Saddlery,pikandlouie.com,0,,Equestrian saddles,Online-only. High-end French saddles and tack. No physical retail.
GirlandaSeriousDream.com,www.girlandaseriousdream.com,0,,Bridal apparel,Sells through stockists and Anthropologie. No brand-owned retail.
JLab,www.jlab.com,0,,Audio/headphones,Sells through Best Buy and retailers. No brand-owned retail.
Bazar Daily Deals,secretshop.shopbazar.com,0,,Discount fashion,Online-only. Shop Bazar discounted overstock. No physical retail.
Lawd Golf,lawdgolf.com,0,,Golf events/merch,Online-only. Corporate golf events company with merch. No physical retail.
